paper_uid,doi,arxiv_id,title,abstract,publication_date,authors,affiliations,source,created_at,updated_at,target_key,affiliation_status,compliance_reason,matched_tokens,assessed_at
doi:https://doi.org/10.1002/advs.202415374,https://doi.org/10.1002/advs.202415374,,Integrin α8‐Mediated Pericyte Morphogenesis Controls Blood‐Brain Barrier Integrity,,2025-10-14 00:00:00+00,"[""B. Wang"", ""Bao‐liang Sun"", ""Chang‐Xiong Gong"", ""Chenhao Zhao"", ""Chunqing He"", ""Fang‐Fei Li"", ""Ling Jiang"", ""Lin‐Lin Hu"", ""Peixia Shi"", ""Qingwu Yang"", ""Sen Lin"", ""Shuang Zhang"", ""Xiaofeng Cheng"", ""Xie Qi"", ""Yuan Zhao"", ""Yue Dai"", ""Zhaoyou Meng""]","[""Army Medical University"", ""Shandong First Medical University"", ""Shanghai Center for Brain Science and Brain-Inspired Technology"", ""Xinqiao Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_e7775feee76b7ed1bf0c,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.722332+00
doi:https://doi.org/10.1002/advs.202405818,https://doi.org/10.1002/advs.202405818,,Identifying Multiomic Signatures of X‐Linked Retinoschisis‐Derived Retinal Organoids and Mice Harboring Patient‐Specific Mutation Using Spatiotemporal Single‐Cell Transcriptomics,,2024-11-06 00:00:00+00,"[""B. Wang"", ""Chih‐Ying Chen"", ""In-Chi Chiang"", ""I‐Chieh Wang"", ""Lo‐Jei Ching"", ""Pei-Chi Su"", ""Shih‐Hwa Chiou"", ""Shih‐Jen Chen"", ""Shih‐Yu Chen"", ""Tai‐Chi Lin"", ""Wei‐Chao Chang"", ""Wen‐chang Lin"", ""Yi‐Ping Yang"", ""You‐Ren Wu"", ""Yueh Chien""]","[""Academia Sinica"", ""China Medical University"", ""China Medical University Hospital"", ""Genomics Research Center, Academia Sinica"", ""Institute of Biomedical Sciences, Academia Sinica"", ""National Taiwan University"", ""National Yang Ming Chiao Tung University"", ""Taipei Veterans General Hospital""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_e7775feee76b7ed1bf0c,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.723715+00
doi:https://doi.org/10.1016/s0168-8278(12)60418-8,https://doi.org/10.1016/s0168-8278(12)60418-8,,405 TLR3 INDUCED EXPRESSION OF RANTES MODULATES THE FUNCTION OF ACTIVATED PRIMARY HEPATIC STELLATE CELLS,,2012-04-01 00:00:00+00,"[""B. Wang"", ""JF Schlaak""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_e7775feee76b7ed1bf0c,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.723923+00
openalex:https://openalex.org/W3010458186,,,Expressions of integrin subunits in osteoblasts during weightlessness simulation using clionstat,,2002-01-01 00:00:00+00,"[""B. Wang"", ""Di Zhao"", ""Jun Nie"", ""S. Zhang"", ""Yuantong Li""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_e7775feee76b7ed1bf0c,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.724131+00
doi:https://doi.org/10.11728/cjss1994.03.210,https://doi.org/10.11728/cjss1994.03.210,,EFFECTS OF COMPOUND FACTORS OF SIMULATED WEIGHTLESSNESS (HDT-30°) AND NOISE ON THE NEUROENDOCRINE-IMMUNITY SYSTEM IN RATS,,1994-01-01 00:00:00+00,"[""B. Wang"", ""Guanghua Yang"", ""Jin-kang Qian"", ""Xiulan Wen""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_e7775feee76b7ed1bf0c,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.724307+00
doi:https://doi.org/10.69979/3029-2700.24.10.019,https://doi.org/10.69979/3029-2700.24.10.019,,基于用户特征的虚假新闻传播研究,,2024-10-20 00:00:00+00,"[""吉骊安 宋康 尚文倩""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_9f2a309fc64460cbeba9,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.724597+00
openalex:https://openalex.org/W4401413201,,,[Evaluation of efficacy of denture occlusal plate combined with comprehensive physical therapy for temporomandibular joint disc displacement without reduction].,,2024-06-01 00:00:00+00,"[""Shi-Xin Cai"", ""Su-Na Li"", ""Wen-Shang Song"", ""Yue-Ru DU"", ""Z. J. Liu""]","[""Hengshui University""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_9f2a309fc64460cbeba9,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.724845+00
doi:https://doi.org/10.5846/stxb201903250560,https://doi.org/10.5846/stxb201903250560,,A review on river ecosystem health research,,2020-01-01 00:00:00+00,"[""魏琳沅 孙然好""]",[],openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_90e0d6023b4d1f7b2c31,unknown,status=unknown; matched=-,[],2026-03-31 06:51:09.725112+00
doi:https://doi.org/10.1016/j.jechem.2025.08.062,https://doi.org/10.1016/j.jechem.2025.08.062,,Cationic covalent framework microenvironment steering CuPt alloy toward record-breaking photoelectrochemical ethane synthesis from CO2,,2025-09-04 00:00:00+00,"[""Fentahun Wondu Dagnaw"", ""Huaping Wang"", ""Huiwen Xue"", ""Jing‐Xin Jian"", ""Karim Harrath"", ""Qing‐Xiao Tong"", ""Tao Zeng"", ""Wei Li"", ""Xu-Bing Li"", ""Y. F. Liu"", ""Zeyu Zhang"", ""Zongjin Li""]","[""Capital Normal University"", ""Chinese Academy of Sciences"", ""Ji Hua Laboratory"", ""Shantou University"", ""Technical Institute of Physics and Chemistry"", ""Xiamen Institute of Rare-earth Materials""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_85f72fb233b8a3d7db09,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.72544+00
doi:https://doi.org/10.1088/1674-1056/adf0e5,https://doi.org/10.1088/1674-1056/adf0e5,,Effect of chemical short-range order on primary radiation damage in TiVTaNb high-entropy alloys,,2025-07-17 00:00:00+00,"[""Xinfu He"", ""Y. F. Liu"", ""Yang Wen"", ""Yankun Dou"", ""Yongpeng Zhao"", ""Z.W. Zhang""]","[""China Institute of Atomic Energy""]",openalex,2026-03-31 06:51:09.720994+00,2026-03-31 06:51:09.720994+00,student_85f72fb233b8a3d7db09,non_compliant,status=non_compliant; matched=-,[],2026-03-31 06:51:09.725567+00
